Karnataka RERA No.,Property Type,BHK Options,Starting Price (Rs Lakh),Possession,Sale Status,Source URL,Entered By,Entered On,Notes
PRM/KA/RERA/1250/304/PR/090126/008393,Apartment,"2 BHK, 3 BHK",1.17 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Parkshire' (Hoskote); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/110625/007817,Apartment,"3 BHK, 4 BHK",3.50 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Tiara' (Yeshwanthpur); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/121125/008248,Apartment,"2 BHK, 3 BHK",1.60 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Woods' (Thanisandra); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/280922/005282,Apartment,"1 BHK, 2 BHK, 3 BHK",38.66 L,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Ananda' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/090123/005605,Apartment,"2 BHK, 3 BHK",2.55 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Athena' (Indiranagar); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/150726/008810,Apartment,"2 BHK, 3 BHK",1.23 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Regent Park' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/181123/002192,Plots,,1.53 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Reserve' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/181122/002158,Plots,,1.53 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Reserve' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/200515/003411,Apartment,"Studio, 1 BHK, 2 BHK, 3 BHK",37.69 L,Ready to move,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Royale Woods' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/160622/005000,Apartment,"1 BHK, 2 BHK, 3 BHK",73.81 L,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Splendour' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/020922/005201,Plots,,59.99 L,Ready to move,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej WoodLand' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/210208/003856,Plots,,59.99 L,Ready to move,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej WoodLand' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/170524/006882,Apartment,"2 BHK, 3 BHK, 4 BHK",1.67 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Woodscapes' (Budigere Cross); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/170524/006888,Apartment,"2 BHK, 3 BHK, 4 BHK",1.67 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Woodscapes' (Budigere Cross); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/151223/006487,Apartment,2-3 BHK,1.01 Cr,Under construction,Available,https://www.squareyards.com/projects-by-goyal-and-co-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Goyal Orchid Life' (Gunjur); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/040326/008503,Apartment,4 BHK,6.08 Cr,Under construction,Available,https://www.squareyards.com/projects-by-goyal-and-co-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Goyal And Co Riviera Glade' (International Airport Road); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/080323/005778,Apartment,2-3 BHK,1.36 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Aston Park At The Prestige City' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/180326/008537,Apartment,3-4 BHK,2.19 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Eaton Park At The Prestige City' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/010126/008374,Apartment,3-5 BHK,3.41 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Raintree Park' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/110326/008519,Apartment,2-3 BHK,1.29 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Fernvale At The Prestige City' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/140524/006872,Apartment,3-4 BHK,2.02 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Camden Gardens' (Thanisandra Main Road); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/300925/008132,Plots,,1.44 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Crystal Lawns' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/250123/005667,Apartment,3-4 BHK,2.95 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Elm Park' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/081123/006382,Apartment,2-4 BHK,1.44 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Glenbrook' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/260925/008123,Plots,,1.35 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Greenbrook' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/290423/005906,Apartment,1-4 BHK,99.01 L,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Lavender Fields' (Varthur); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/100823/006141,Apartment,1-4 BHK,97.38 L,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Park Grove' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/150926/008941,Apartment,1-3 BHK,58.00 L,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Parklane' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/190924/007048,Apartment,3-4 BHK,3.70 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Pine Forest' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/270824/006981,Apartment,3-5 BHK,3.41 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Raintree Park' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/220823/006192,Apartment,2-4 BHK,1.84 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Serenity Shores' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/290224/006660,Apartment,2-4 BHK,2.06 Cr,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Somerville' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/210325/007603,Apartment,1-4 BHK,90.35 L,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Southern Star' (Akshayanagar); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/170225/007512,Apartment,1-3 BHK,78.77 L,Under construction,Available,https://www.squareyards.com/projects-by-prestige-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Prestige Suncrest' (Electronic City); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/210324/006726,Apartment,"2, 3 BHK",1.07 Cr,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Botanico' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/190606/002596,Apartment,"Studio, 1, 2 BHK",42.37 L,Ready to move,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Capella' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/190719/002702,Apartment,"Studio, 1, 2 BHK",42.37 L,Ready to move,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Capella' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/170325/007590,Apartment,3 BHK,2.50 Cr,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Deansgate' (IVC Road); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/311224/007334,Apartment,"1, 2, 3 BHK",51.20 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Ecopolitan' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/110823/006165,Apartment,"1, 2, 3 BHK",51.20 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Ecopolitan' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/110823/006164,Apartment,"1, 2, 3 BHK",51.20 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Ecopolitan' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/110823/006163,Apartment,"1, 2, 3 BHK",51.20 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Ecopolitan' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/110823/006162,Apartment,"1, 2, 3 BHK",51.20 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Ecopolitan' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/180823/006187,Apartment,"1, 2, 3 BHK",51.20 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Ecopolitan' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/180724/006944,Apartment,"2, 3, 4 BHK",73.49 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Equinox 3' (Mysore Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/210325/007612,Apartment,"2, 3, 4 BHK",73.49 L,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Equinox 4' (Mysore Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/170126/008410,Apartment,"2, 3, 4 BHK",90.00 L,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Equinox 5' (Mysore Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/180926/008948,Apartment,"2, 3 BHK",83.89 L,Under construction,Available,https://www.squareyards.com/projects-by-provident-housing-limited-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Provident Equinox 6' (Mysore Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/290323/005829,Apartment,3 BHK,2.30 Cr,Under construction,Available,https://www.squareyards.com/projects-by-puravankara-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Purva Blubelle' (Rajaji Nagar); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/090726/008801,Apartment,"2, 3 BHK",1.92 Cr,Under construction,Available,https://www.squareyards.com/projects-by-puravankara-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Puravankara Purva Heritage' (Kudlu Gate); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/210324/006719,Plots,,84.92 L,Ready to move,Available,https://www.squareyards.com/projects-by-puravankara-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Purva Kensho Hills' (Sarjapur); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/071022/005307,Apartment,"3, 4 BHK",3.90 Cr,Under construction,Available,https://www.squareyards.com/projects-by-puravankara-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Purva Meraki' (HSR Layout); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/150323/005796,Plots,,52.94 L,Ready to move,Available,https://www.squareyards.com/projects-by-puravankara-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Purva Oakshire' (Rampura); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/071022/005303,Apartment,"2, 3 BHK",1.45 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-puravankara-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Puravankara Purva Zenium' (Hosahalli); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/160522/004883,Apartment,"4 BHK, 5 BHK",2.57 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-radiance-realty-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Radiance Blossom' (Budigere Cross); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/060424/006781,Apartment,3 BHK,2.65 Cr,Under construction,Available,https://www.squareyards.com/projects-by-radiance-realty-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Radiance Floresta' (Hennur); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/091122/005430,Apartment,"3 BHK, 4 BHK, 5 BHK",2.57 Cr,Under construction,Available,https://www.squareyards.com/projects-by-radiance-realty-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Radiance Gardenia' (Off Hennur Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/060824/006962,Apartment,"3 BHK, 4 BHK",3.73 Cr,Under construction,Available,https://www.squareyards.com/projects-by-radiance-realty-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Radiance Platinum' (Koramangala); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/180728/001960,Apartment,5 BHK,2.19 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-radiance-realty-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Radiance Emerald' (Budigere); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/130723/006064,Apartment,"1 BHK, 2 BHK, 3 BHK",92.50 L,Under construction,Available,https://www.squareyards.com/projects-by-rohan-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Rohan Ekanta' (Gunjur); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/200423/005887,Apartment,"1 BHK, 2 BHK, 3 BHK",92.50 L,Under construction,Available,https://www.squareyards.com/projects-by-rohan-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Rohan Ekanta' (Gunjur); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/200423/005890,Apartment,"1 BHK, 2 BHK, 3 BHK",92.50 L,Under construction,Available,https://www.squareyards.com/projects-by-rohan-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Rohan Ekanta' (Gunjur); indicative, verify with builder"
PRM/KA/RERA/1250/307/PR/040524/006863,Plots,,84.65 L,Ready to move,Available,https://www.squareyards.com/projects-by-sattva-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sattva Green Groves' (Tumkur Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/041223/006446,Apartment,4 BHK,5.84 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sattva-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sattva La Vita' (Hennur); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/270226/008494,Apartment,Studio to 4 BHK,68.60 L,Under construction,Available,https://www.squareyards.com/projects-by-sattva-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sattva City' (International Airport Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/240724/006948,Apartment,4 BHK,4.69 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sattva-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sattva Springs' (Badamanavarthekaval); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/241224/007315,Apartment,1 BHK to 3 BHK,45.45 L,Under construction,Available,https://www.squareyards.com/projects-by-sattva-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sattva Forest Ridge' (JP Nagar Phase 9); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/060924/007008,Apartment,1 BHK to 4 BHK,94.50 L,Under construction,Available,https://www.squareyards.com/projects-by-sattva-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sattva Songbird' (Budigere Cross); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/080525/007730,Apartment,1 BHK to 4 BHK,72.30 L,Under construction,Available,https://www.squareyards.com/projects-by-sattva-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sattva Vasanta Skye' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1265/347/PR/120123/005608,Plots,,43.20 L,Ready to move,Available,https://www.squareyards.com/projects-by-shriram-properties-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Shriram Chirping Ridge' (Sarjapur); indicative, verify with builder"
PRM/KA/RERA/1250/306/PR/190211/002368,Plots,,96.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-shriram-properties-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Shriram Earth' (Mysore Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/090224/006616,Apartment,"2 BHK, 3 BHK",97.50 L,Under construction,Available,https://www.squareyards.com/projects-by-shriram-properties-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Shriram Sapphire' (Bommasandra); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/070126/008388,Apartment,"3, 4 BHK",3.50 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Altair' (Chikkakannalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/050123/005601,Apartment,4 BHK,5.25 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Galera' (Kannamangala); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/030922/005212,Apartment,"3, 4 BHK",4.04 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Insignia' (Bhoganhalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/270323/005821,Apartment,4 BHK,5.99 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Oakshire' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/270323/005822,Apartment,4 BHK,5.99 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Oakshire' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/270323/005823,Apartment,4 BHK,5.99 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Oakshire' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/300522/004936,Apartment,"3, 4 BHK",2.63 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Royal Crest' (Banashankari); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/310322/004799,Apartment,"1, 3 BHK",1.01 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Sentosa' (Balagere); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/310322/004798,Apartment,"1, 3 BHK",1.01 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Sentosa' (Balagere); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/310322/004797,Apartment,"1, 3 BHK",1.01 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Sentosa' (Balagere); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/310322/004796,Apartment,"1, 3 BHK",1.01 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Sentosa' (Balagere); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/310322/004801,Apartment,"2, 3 BHK",2.03 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Victoria Park' (Hennur Road); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/310322/004800,Apartment,"2, 3 BHK",2.03 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sobha-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sobha Victoria Park' (Hennur Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/051024/007125,Apartment,"1, 2, 3 BHK",1.60 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sumadhura-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sumadhura Capitol Residences' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/150626/008723,Plots,,1.10 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-sumadhura-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sumadhura Panorama' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/220125/007412,Plots,,1.10 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-sumadhura-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sumadhura Panorama' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/250325/007625,Apartment,"2, 3 BHK",1.33 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sumadhura-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sumadhura Pramoda' (Raja Rajeshwari Nagar); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/220526/008677,Apartment,"3, 4 BHK",2.61 Cr,Under construction,Available,https://www.squareyards.com/projects-by-sumadhura-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Sumadhura Elysium' (Panathur); indicative, verify with builder"
